,GPA_NO,TOFEL,SATI,RankGroup,result
2131,95,102,1880,2,-1
2132,95,102,1880,3,1
2133,95,102,1880,3,1
2134,92,91,2050,3,1
2135,92,91,2050,3,1
2136,92,91,2050,3,-1
2137,92,91,2050,3,1
2138,95,97,1780,2,1
2139,95,97,1780,2,1
2140,95,97,1780,3,1
2141,95,97,1780,3,-1
2142,95,97,1780,3,-1
2143,95,97,1780,3,1
2144,95,97,1780,3,1
2145,95,97,1780,3,1
2146,95,97,1780,3,1
2147,88,100,1600,2,-1
2148,88,100,1600,2,-1
2149,88,100,1600,3,-1
2150,88,100,1600,3,1
2151,88,100,1600,4,1
2152,90,73,1640,3,1
2153,90,73,1640,3,1
2154,90,73,1640,3,1
2155,90,73,1640,4,1
2156,90,73,1640,4,1
2157,90,73,1640,4,1
2158,90,73,1640,4,1
2159,90,83,1750,3,-1
2160,90,83,1750,3,1
2161,90,83,1750,3,1
2162,90,83,1750,3,1
2163,90,83,1750,4,1
2164,90,59,1750,3,1
2165,95,86,1900,2,1
2166,95,86,1900,2,-1
2167,95,86,1900,3,1
2168,95,86,1900,3,1
2169,95,86,1900,3,1
2170,95,83,1760,3,1
2171,95,83,1760,3,-1
2172,95,83,1760,3,1
2173,95,83,1760,3,1
2174,95,83,1760,3,1
2175,90,83,1760,3,1
2176,90,83,1760,3,1
2177,90,83,1760,3,1
2178,90,83,1760,4,1
2179,90,83,1760,4,1
2180,87.5,88,1760,3,1
2181,87.5,88,1760,3,1
2182,93,105,2050,2,1
2183,93,108,2030,2,1
2184,93,88,1860,2,1
2185,93,99,2050,2,1
2186,93,96,1870,2,1
2187,93,98,1960,2,1
2188,93,102,1750,2,1
2189,93,84,1510,3,1
2190,93,84,1730,3,1
2191,93,87,1320,3,1
2192,93,78,1320,3,1
2193,93,77,1400,3,1
2194,93,81,1150,3,1
2195,93,92,1150,3,1
2196,93,85,1380,3,1
2197,93,105,2050,1,1
2198,85,93,2040,2,1
2199,85,93,2040,2,-1
2200,85,93,2040,2,-1
2201,85,93,2040,3,1
2202,85,93,2040,3,1
2203,85,93,2040,3,1
2204,84,82,1790,2,-1
2205,84,82,1790,3,1
2206,84,82,1790,4,1
2207,84,82,1790,4,1
2208,84,82,1790,4,1
2209,84,82,1790,3,-1
2210,80,88,1730,3,-1
2211,80,88,1730,2,-1
2212,80,88,1730,3,1
2213,80,88,1730,3,1
2214,89,93,1710,3,1
2215,89,93,1710,2,1
2216,89,93,1710,3,-1
2217,89,93,1710,3,1
2218,89,93,1710,4,1
2219,89,93,1710,4,1
2220,84,82,1800,3,1
2221,82,79,1800,4,-1
2222,82,79,1800,4,-1
2223,82,79,1800,4,1
2224,82,79,1800,4,1
2225,87,97,1730,3,-1
2226,87,97,1730,3,1
2227,87,94,1790,2,1
2228,87,94,1790,2,-1
2229,87,94,1790,2,1
2230,87,94,1790,3,1
2231,87,94,1790,3,1
2232,87,94,1790,3,1
2233,87,94,1790,3,1
2234,88,82,1580,3,1
2235,88,82,1580,4,1
2236,88,82,1580,3,1
2237,88,82,1580,3,1
2238,88,82,1580,3,1
2239,88,82,1580,4,1
2240,94.25,90,1740,2,-1
2241,94.25,90,1740,3,1
2242,94.25,90,1740,3,1
2243,94.25,90,1740,4,1
2244,87,87,1640,2,-1
2245,87,87,1640,3,1
2246,87,87,1640,3,1
2247,87,87,1640,3,1
2248,87,87,1640,3,1
2249,90,86,1740,3,1
2250,90,86,1740,3,-1
2251,90,86,1740,3,1
2252,90,86,1740,3,1
2253,90,86,1740,3,1
2254,90,86,1740,3,1
2255,90,86,1740,4,1
2256,86.9,34,1740,4,1
2257,86.9,34,1740,4,1
2258,86.9,34,1740,4,1
2259,83.6,50,1740,2,1
2260,84.6,51,1740,2,1
2261,78.13,85,1610,2,-1
2262,79.13,85,1610,3,-1
2263,80.13,85,1610,3,-1
2264,81.13,85,1610,3,-1
2265,82.13,85,1610,3,-1
2266,83.13,85,1610,4,-1
2267,84.13,85,1610,1,-1
2268,85.13,85,1610,1,1
2269,85,59,1610,4,1
2270,85,78,1600,3,1
2271,85,78,1600,4,1
2272,85,78,1600,3,1
2273,85,78,1600,1,1
2274,85,78,1600,3,-1
2275,85,78,1600,3,-1
2276,89,96,1920,2,1
2277,89,96,1920,2,-1
2278,89,96,1920,2,-1
2279,89,96,1920,2,-1
2280,89,96,1920,3,1
2281,89,96,1920,2,1
2282,89,96,1920,3,1
2283,88,90,1880,2,1
2284,88,90,1880,2,-1
2285,88,90,1880,2,-1
2286,88,90,1880,3,1
2287,88,90,1880,3,1
2288,88,90,1880,2,-1
2289,86,82,1760,3,1
2290,86,82,1760,3,1
2291,86,82,1760,3,-1
2292,86,82,1760,2,-1
2293,86,82,1760,3,1
2294,86,82,1760,3,1
2295,50,101,1630,3,1
2296,82.5,107,2170,2,1
2297,82.5,107,2170,2,-1
2298,82.5,107,2170,2,-1
2299,82.5,107,2170,2,1
2300,82.5,107,2170,2,1
2301,82.5,107,2170,2,-1
2302,82.5,107,2170,2,-1
2303,82.5,107,2170,2,1
2304,80,101,1880,2,1
2305,80,101,1880,3,1
2306,80,101,1880,2,-1
2307,80,101,1880,2,-1
2308,80,101,1880,2,-1
2309,80,101,1880,3,-1
2310,80,101,1880,2,-1
2311,81.75,82,1600,2,1
2312,81.75,82,1600,3,1
2313,81.75,82,1600,3,1
2314,81.75,82,1600,3,1
2315,81.75,82,1600,3,1
2316,81.75,82,1600,3,-1
2317,81.75,82,1600,2,-1
2318,91,106,2150,2,1
2319,91,106,2150,2,-1
2320,91,106,2150,1,-1
2321,91,106,2150,1,-1
2322,91,106,2150,1,-1
2323,91,106,2150,2,-1
2324,90.43,102,1880,2,1
2325,90.43,102,1880,2,1
2326,90.43,102,1880,3,1
2327,90.43,102,1880,2,1
2328,90.43,102,1880,3,1
2329,90.43,102,1880,3,1
2330,86,84,1710,3,1
2331,86,84,1710,3,1
2332,86,84,1710,3,1
2333,86,84,1710,3,-1
2334,89.5,111,2200,2,1
2335,89.5,111,2200,2,1
2336,89.5,111,2200,2,-1
